Testfall	ToolID	Variable	Fehlercode	Max	Min	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R² coefficient determination	std dev	SimQuality-Score	SimQ-Einordnung
04-WaermeleitungSpeicherung	TRNSYS	Variante 2 Raum A	0	0.02	0.6	0.0	0.37	0.0	0.0	0.27	0.01	0.00022	99.99	0.7	-99	25.18	23.14	24.17	99.77850000000001	Gold
04-WaermeleitungSpeicherung	TRNSYS	Variante 3 Raum A	0	0.01	1.38	-0.0	0.55	0.0	-0.0	0.13	0.0	0.0001	100.0	0.41	-99	24.43	22.51	23.88	99.69200000000001	Gold
04-WaermeleitungSpeicherung	TRNSYS	Variante 3 Raum B	0	0.01	0.41	-0.0	0.21	0.0	-0.0	0.05	0.0	5e-05	100.0	0.58	-99	24.2	21.78	23.71	99.894	Gold
04-WaermeleitungSpeicherung	TRNSYS	Variante 4 Raum A	0	0.01	0.73	-0.0	0.16	0.0	-0.0	0.1	0.0	0.00013	100.0	0.84	-99	20.54	17.98	19.26	99.862	Gold
04-WaermeleitungSpeicherung	TRNSYS	Variante 4 Raum B	0	0.01	0.24	-0.0	0.17	0.0	-0.0	0.11	0.0	5e-05	100.0	0.29	-99	19.69	18.75	19.27	99.906	Gold
05-Lueftung	Aixlib	Variante 1 Raumlufttemperatur	0	0.16	11.14	-0.01	0.19	0.0	-0.13	0.14	0.02	0.0019	100.0	4.25	-99	15.94	3.95	10.31	98.836	Gold
05-Lueftung	Aixlib	Variante 2 Raumlufttemperatur	0	1.09	6.16	-0.01	1.17	0.02	-0.06	0.65	0.13	0.01354	99.95	5.64	-99	21.09	1.44	11.61	98.9365	Gold
05-Lueftung	Aixlib	Variante 2 Lueftungswaermestrom	0	1018.78	4.94	0.13	8.97	96.8	13.91	1.96	9.84	-99	-99	-99	-99	289.19	-216.87	1.1	63.446000000000005	Failed
05-Lueftung	Aixlib	Variante 3 Raumlufttemperatur	0	1.76	43.47	0.28	129.74	0.1	1.59	35.52	0.31	0.01644	-184.95	0.24	-99	18.73	17.52	18.09	11.198000000000002	Failed
05-Lueftung	Aixlib	Variante 3 Lueftungswaermestrom	0	68.14	38.67	1.36	48.12	271.81	5.64	9.92	16.49	-99	-99	-99	-99	141.8	-62.6	25.56	50.363000000000014	Failed
05-Lueftung	ETU	Variante 1 Raumlufttemperatur	0	0.69	31.53	0.03	0.81	0.01	0.29	0.6	0.07	0.00679	99.97	4.26	-99	16.01	3.93	10.36	96.41749999999999	Gold
05-Lueftung	ETU	Variante 2 Raumlufttemperatur	0	0.29	4.42	-0.0	0.31	0.0	-0.0	0.17	0.03	0.00375	100.0	5.63	-99	20.97	1.45	11.62	99.43800000000002	Gold
05-Lueftung	ETU	Variante 2 Lueftungswaermestrom	0	863.25	4.17	-0.01	7.6	69.5	-0.58	1.66	8.34	-99	-99	-99	-99	276.5	-214.0	0.96	67.563	Failed
05-Lueftung	ETU	Variante 3 Raumlufttemperatur	0	0.34	6.81	0.03	24.75	0.0	0.18	6.78	0.06	0.00317	89.63	0.19	-99	18.27	17.34	17.83	89.83599999999998	Bronze
05-Lueftung	ETU	Variante 3 Lueftungswaermestrom	0	29.01	15.25	-0.63	20.49	49.28	-2.59	4.22	7.02	-99	-99	-99	-99	100.0	-53.5	23.57	63.095000000000006	Failed
05-Lueftung	ETU	Variante 4 Raumlufttemperatur	0	1.22	16.93	-0.27	52.06	0.08	-1.16	16.36	0.28	0.01187	42.59	0.42	-99	23.82	21.98	22.98	72.8805	Failed
05-Lueftung	ETU	Variante 4 Lueftungswaermestrom	0	-18.05	13.9	5.02	9.72	77.88	-10.26	4.54	8.82	-99	-99	-99	-99	30.0	-153.0	-43.88	67.76	Failed
05-Lueftung	IDAICE	Variante 1 Raumlufttemperatur	0	0.19	2.59	0.02	0.22	0.0	0.15	0.16	0.02	0.00145	100.0	4.26	-99	15.99	3.95	10.34	99.6085	Gold
05-Lueftung	IDAICE	Variante 2 Raumlufttemperatur	0	0.18	1.32	0.01	0.19	0.0	0.06	0.11	0.02	0.00231	100.0	5.63	-99	20.98	1.48	11.62	99.778	Gold
05-Lueftung	IDAICE	Variante 2 Lueftungswaermestrom	0	730.53	3.39	-0.01	6.43	49.77	-1.23	1.41	7.06	-99	-99	-99	-99	290.51	-217.04	0.95	68.1585	Failed
05-Lueftung	IDAICE	Variante 3 Raumlufttemperatur	0	1.38	29.26	0.22	101.79	0.06	1.25	27.86	0.25	0.01295	-75.4	0.21	-99	18.64	17.52	18.02	38.039	Failed
05-Lueftung	IDAICE	Variante 3 Lueftungswaermestrom	0	59.24	11.21	-0.51	41.84	205.45	-2.1	8.63	14.33	-99	-99	-99	-99	114.51	-62.02	23.69	56.9365	Failed
05-Lueftung	NANDRAD	Variante 1 Raumlufttemperatur	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	4.25	-99	15.96	3.95	10.32	100.0	Gold
05-Lueftung	NANDRAD	Variante 2 Raumlufttemperatur	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	5.63	-99	20.97	1.46	11.62	100.0	Gold
05-Lueftung	NANDRAD	Variante 2 Lueftungswaermestrom	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99	-99	-99	-99	282.69	-218.41	0.97	70.15	Failed
05-Lueftung	NANDRAD	Variante 3 Raumlufttemperatur	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.19	-99	18.19	17.31	17.8	100.0	Gold
05-Lueftung	NANDRAD	Variante 3 Lueftungswaermestrom	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99	-99	-99	-99	111.62	-54.55	24.2	70.15	Failed
05-Lueftung	NANDRAD	Variante 4 Raumlufttemperatur	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.38	-99	23.97	22.23	23.25	100.0	Gold
05-Lueftung	NANDRAD	Variante 4 Lueftungswaermestrom	0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-99	-99	-99	-99	29.74	-164.45	-48.9	70.15	Failed
05-Lueftung	TAS	Variante 1 Raumlufttemperatur	0	0.04	5.99	-0.0	0.04	0.0	-0.02	0.03	0.0	0.0004	100.0	4.25	-99	15.96	3.95	10.32	99.3885	Gold
05-Lueftung	TAS	Variante 2 Raumlufttemperatur	0	0.12	1.09	0.0	0.13	0.0	0.0	0.07	0.01	0.00161	100.0	5.64	-99	20.99	1.45	11.62	99.84100000000001	Gold
05-Lueftung	TAS	Variante 2 Lueftungswaermestrom	0	991.11	6.02	0.01	8.72	91.62	1.36	1.91	9.57	-99	-99	-99	-99	293.99	-220.44	0.98	66.5505	Failed
05-Lueftung	TAS	Variante 3 Raumlufttemperatur	0	0.36	5.81	-0.06	26.56	0.0	-0.36	7.27	0.06	0.00341	88.06	0.18	-99	18.09	17.25	17.74	89.26050000000001	Bronze
05-Lueftung	TAS	Variante 3 Lueftungswaermestrom	0	18.66	12.4	-0.28	13.18	20.38	-1.14	2.72	4.51	-99	-99	-99	-99	106.49	-58.19	23.92	65.22	Failed
05-Lueftung	THERAKLES	Variante 1 Raumlufttemperatur	0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	100.0	4.25	-99	15.96	3.95	10.32	99.989	Gold
05-Lueftung	THERAKLES	Variante 2 Raumlufttemperatur	0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	5e-05	100.0	5.63	-99	20.97	1.46	11.62	99.991	Gold
05-Lueftung	THERAKLES	Variante 2 Lueftungswaermestrom	0	982.49	5.25	0.0	8.65	90.03	0.39	1.89	9.49	-99	-99	-99	-99	291.55	-218.98	0.97	66.8925	Failed
05-Lueftung	THERAKLES	Variante 3 Raumlufttemperatur	0	0.02	0.69	0.0	1.7	0.0	0.0	0.46	0.0	0.00022	99.95	0.19	-99	18.19	17.31	17.8	99.3835	Gold
05-Lueftung	THERAKLES	Variante 3 Lueftungswaermestrom	0	65.28	22.47	1.46	46.1	249.49	6.02	9.51	15.8	-99	-99	-99	-99	129.76	-58.89	25.65	52.49550000000001	Failed
05-Lueftung	TRNSYS	Variante 1 Raumlufttemperatur	0	0.02	1.19	-0.0	0.02	0.0	-0.0	0.01	0.0	0.00017	100.0	4.25	-99	15.96	3.95	10.32	99.8735	Gold
05-Lueftung	TRNSYS	Variante 2 Raumlufttemperatur	0	0.56	4.14	-0.0	0.61	0.0	-0.0	0.34	0.07	0.00693	99.99	5.63	-99	20.96	1.47	11.62	99.34700000000001	Gold
05-Lueftung	TRNSYS	Variante 2 Lueftungswaermestrom	0	3.84	0.02	-0.0	0.03	0.0	-0.0	0.01	0.04	-99	-99	-99	-99	282.7	-218.39	0.97	70.138	Failed
05-Lueftung	TRNSYS	Variante 3 Raumlufttemperatur	0	0.17	7.46	0.0	12.44	0.0	0.02	3.41	0.03	0.0016	97.38	0.19	-99	18.26	17.29	17.81	94.89349999999999	Silver
05-Lueftung	TRNSYS	Variante 3 Lueftungswaermestrom	0	0.12	0.16	-0.0	0.08	0.0	-0.0	0.02	0.03	-99	-99	-99	-99	111.42	-54.53	24.19	70.10900000000001	Failed
05-Lueftung	TRNSYS	Variante 4 Raumlufttemperatur	0	0.23	3.87	0.0	9.74	0.0	0.01	3.06	0.05	0.0022	97.99	0.38	-99	23.97	22.18	23.25	96.10900000000001	Gold
05-Lueftung	TRNSYS	Variante 4 Lueftungswaermestrom	0	-1.56	0.07	-0.25	0.84	0.58	0.51	0.39	0.76	-99	-99	-99	-99	29.68	-164.44	-49.15	69.708	Failed
