Stunde im Jahr [h]	Var1.Raumlufttemperatur [C]	Var2.Raumlufttemperatur [C]	Var3.Raumlufttemperatur [C]
325	4.99857	4.99709	4.99759
326	4.99857	4.9971	4.9976
327	4.99858	4.99711	4.9976
328	4.99858	4.99712	4.9976
329	4.99858	4.99713	4.99761
330	4.99858	4.99714	4.99761
331	4.99858	4.99715	4.99761
332	4.99858	4.99716	4.99762
333	4.99858	4.99716	4.99762
334	4.99858	4.99717	4.99762
335	4.99858	4.99718	4.99763
336	4.99858	4.99719	4.99763
337	4.99859	4.9972	4.99763
338	4.99859	4.99721	4.99763
339	4.99859	4.99722	4.99764
340	4.99859	4.99723	4.99764
341	4.99859	4.99723	4.99764
342	4.99859	4.99724	4.99765
343	4.99859	4.99725	4.99765
344	4.99859	4.99726	4.99765
345	4.99859	4.99727	4.99765
346	4.99859	4.99728	4.99766
347	4.99859	4.99728	4.99766
348	4.99859	4.99729	4.99766
349	4.99859	4.9973	4.99767
350	4.99859	4.99731	4.99767
351	4.9986	4.99732	4.99767
352	4.9986	4.99733	4.99768
353	4.9986	4.99733	4.99768
354	4.9986	4.99734	4.99768
355	4.9986	4.99735	4.99768
356	4.9986	4.99736	4.99769
357	4.9986	4.99737	4.99769
358	4.9986	4.99738	4.99769
359	4.9986	4.99738	4.9977
360	4.9986	4.99739	4.9977
361	4.9986	4.9974	4.9977
362	4.99861	4.99741	4.99771
363	4.99861	4.99742	4.99771
364	4.99861	4.99742	4.99771
365	4.99861	4.99743	4.99772
366	4.99861	4.99744	4.99772
367	4.99861	4.99745	4.99772
368	4.99861	4.99746	4.99772
369	4.99861	4.99746	4.99773
370	4.99861	4.99747	4.99773
371	4.99861	4.99748	4.99773
372	4.99861	4.99749	4.99773
373	4.99861	4.99749	4.99774
374	4.99862	4.9975	4.99774
375	4.99862	4.99751	4.99774
376	4.99862	4.99752	4.99775
377	4.99862	4.99753	4.99775
378	4.99862	4.99753	4.99775
379	4.99862	4.99754	4.99775
380	4.99862	4.99755	4.99776
381	4.99862	4.99756	4.99776
382	4.99862	4.99756	4.99776
383	4.99862	4.99757	4.99777
384	4.99862	4.99758	4.99777
385	4.99862	4.99759	4.99777
386	4.99862	4.99759	4.99778
387	4.99862	4.9976	4.99778
388	4.99863	4.99761	4.99778
389	4.99863	4.99762	4.99778
390	4.99863	4.99762	4.99779
391	4.99863	4.99763	4.99779
392	4.99863	4.99764	4.99779
393	4.99863	4.99765	4.99779
394	4.99863	4.99765	4.9978
395	4.99863	4.99766	4.9978
396	4.99863	4.99767	4.9978
397	4.99863	4.99768	4.99781
398	4.99863	4.99768	4.99781
399	4.99864	4.99769	4.99781
400	4.99864	4.9977	4.99782
401	4.99864	4.9977	4.99782
402	4.99864	4.99771	4.99782
403	4.99864	4.99772	4.99782
404	4.99864	4.99773	4.99783
405	4.99864	4.99773	4.99783
406	4.99864	4.99774	4.99783
407	4.99864	4.99775	4.99784
408	4.99864	4.99775	4.99784
409	4.99864	4.99776	4.99784
410	4.99864	4.99777	4.99784
