Zeit [h]	Variante 8.1 Raumlufttemperatur [C]	Variante 8.1 Wärmeleitung [W/m2]	Variante 8.1 Oberflächentemperatur [C]	Variante 8.2 Raumlufttemperatur [C]	Variante 8.2 Wärmeleitung [W/m2]	Variante 8.2 Oberflächentemperatur [C]	Variante 8.3 Raumlufttemperatur [C]	Variante 8.3 Wärmeleitung [W/m2]	Variante 8.3 Oberflächentemperatur [C]	Variante 8.4.Raumlufttemperatur [C]	Variante 8.4 Wärmeleitung [W/m2]	Variante 8.4 Oberflächentemperatur [C]
1959	40.49	6.4514	37.91	37.9142	-0.0002	37.8434	40.85	13.3700	35.50	35.499	-0.0154	35.358
1960	40.50	6.4514	37.92	37.9153	-0.0002	37.8445	40.93	13.3733	35.58	35.584	-0.0137	35.442
1961	40.50	6.4514	37.92	37.9163	-0.0002	37.8456	39.25	9.6261	35.49	35.494	0.0145	35.390
1962	40.50	6.4514	37.92	37.9174	-0.0002	37.8467	36.91	4.4097	35.27	35.272	0.0358	35.221
1963	40.50	6.4514	37.92	37.9185	-0.0002	37.8477	35.05	0.3008	35.02	35.022	0.0403	35.012
1964	40.50	6.4514	37.92	37.9195	-0.0002	37.8488	34.91	0.0229	34.90	34.898	0.0199	34.892
1965	40.50	6.4514	37.92	37.9206	-0.0002	37.8498	34.81	0.0148	34.81	34.808	0.0146	34.803
1966	40.50	6.4514	37.92	37.9216	-0.0002	37.8509	34.74	0.0119	34.74	34.735	0.0117	34.731
1967	40.50	6.4514	37.92	37.9227	-0.0002	37.8519	34.68	0.0102	34.67	34.673	0.0101	34.669
1968	40.50	6.4514	37.92	37.9237	-0.0002	37.8530	34.62	0.0092	34.62	34.616	0.0091	34.613
1969	40.51	6.4514	37.92	37.9248	-0.0002	37.8540	34.57	0.0086	34.56	34.563	0.0085	34.560
1970	40.51	6.4514	37.93	37.9258	-0.0002	37.8551	34.52	0.0082	34.51	34.512	0.0082	34.509
1971	40.51	6.4514	37.93	37.9269	-0.0002	37.8561	34.47	0.0080	34.46	34.463	0.0080	34.460
1972	40.51	6.4514	37.93	37.9279	-0.0002	37.8571	34.42	0.0078	34.41	34.414	0.0078	34.411
1973	40.51	6.4514	37.93	37.9289	-0.0002	37.8582	34.37	0.0077	34.37	34.366	0.0077	34.363
1974	40.51	6.4514	37.93	37.9300	-0.0002	37.8592	34.32	0.0077	34.32	34.319	0.0077	34.316
1975	40.51	6.4514	37.93	37.9310	-0.0002	37.8602	36.04	3.7557	34.44	34.441	-0.0198	34.400
1976	40.51	6.4514	37.93	37.9320	-0.0002	37.8612	38.41	8.9726	34.69	34.693	-0.0406	34.600
1977	40.51	6.4514	37.93	37.9330	-0.0002	37.8623	40.30	13.0818	34.97	34.971	-0.0449	34.836
1978	40.51	6.4514	37.93	37.9340	-0.0002	37.8633	40.47	13.3598	35.12	35.122	-0.0243	34.984
1979	40.52	6.4514	37.94	37.9350	-0.0002	37.8643	40.59	13.3680	35.24	35.239	-0.0188	35.099
1980	40.52	6.4515	37.94	37.9360	-0.0002	37.8653	39.56	10.9722	35.23	35.229	0.0016	35.112
1981	40.52	6.4515	37.94	37.9370	-0.0002	37.8663	39.59	10.8015	35.27	35.270	-0.0066	35.154
1982	40.52	6.4515	37.94	37.9380	-0.0002	37.8673	40.76	13.1979	35.42	35.424	-0.0249	35.284
1983	40.52	6.4515	37.94	37.9390	-0.0002	37.8683	40.87	13.3700	35.52	35.520	-0.0154	35.379
1984	40.52	6.4515	37.94	37.9400	-0.0002	37.8693	40.95	13.3733	35.60	35.605	-0.0137	35.463
1985	40.52	6.4515	37.94	37.9410	-0.0002	37.8703	39.27	9.6261	35.51	35.514	0.0145	35.411
