Zeit [h]	Variante 8.1 Raumlufttemperatur [C]	Variante 8.1 Wärmeleitung [W/m2]	Variante 8.1 Oberflächentemperatur [C]	Variante 8.2 Raumlufttemperatur [C]	Variante 8.2 Wärmeleitung [W/m2]	Variante 8.2 Oberflächentemperatur [C]	Variante 8.3 Raumlufttemperatur [C]	Variante 8.3 Wärmeleitung [W/m2]	Variante 8.3 Oberflächentemperatur [C]	Variante 8.4.Raumlufttemperatur [C]	Variante 8.4 Wärmeleitung [W/m2]	Variante 8.4 Oberflächentemperatur [C]
7813	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	40.158	39.82	35.375	35.377	-0.017476667	35.377
7814	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	40.823	40.91	35.503	35.505	-0.018083333	35.505
7815	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	40.938	41.07	35.602	35.604	-1.23E-02	35.604
7816	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	40.245	41.16	35.635	35.637	7.04E-03	35.637
7817	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	38.344	39.61	35.519	35.521	0.031475	35.521
7818	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	36.259	37.35	35.295	35.297	0.041703333	35.297
7819	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	35.137	35.48	35.078	35.08	0.030161667	35.08
7820	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	34.953	35.23	34.944	34.945	0.01896	34.945
7821	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	34.856	35.12	34.849	34.851	1.51E-02	34.851
7822	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	34.778	35.04	34.772	34.773	1.29E-02	34.773
7823	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	34.711	34.97	34.705	34.707	1.16E-02	34.707
7824	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	34.651	34.91	34.645	34.647	1.07E-02	34.647
7825	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	34.595	34.85	34.59	34.592	1.02E-02	34.592
7826	40.58	6.457166667	37.997	37.999	1.63E-03	37.998	34.542	34.8	34.537	34.539	9.81E-03	34.539
