Zeit [h]	Variante 8.1 Raumlufttemperatur [C]	Variante 8.1 Wärmeleitung [W/m2]	Variante 8.1 Oberflächentemperatur [C]	Variante 8.2 Raumlufttemperatur [C]	Variante 8.2 Wärmeleitung [W/m2]	Variante 8.2 Oberflächentemperatur [C]	Variante 8.3 Raumlufttemperatur [C]	Variante 8.3 Wärmeleitung [W/m2]	Variante 8.3 Oberflächentemperatur [C]	Variante 8.4.Raumlufttemperatur [C]	Variante 8.4 Wärmeleitung [W/m2]	Variante 8.4 Oberflächentemperatur [C]
4636	40.822	6.452	38.242	38.242	0.000	38.242	34.589	0.008	34.586	34.577	0.008	34.574
4637	40.822	6.452	38.242	38.242	0.000	38.242	34.633	0.197	34.555	34.613	0.164	34.548
4638	40.822	6.452	38.242	38.242	0.000	38.242	36.361	3.822	34.832	34.867	0.012	34.862
4639	40.822	6.452	38.242	38.242	0.000	38.242	38.806	8.839	35.270	35.281	-0.114	35.326
4640	40.822	6.452	38.242	38.242	0.000	38.242	40.744	12.726	35.653	35.654	-0.169	35.721
4641	40.822	6.452	38.242	38.242	0.000	38.242	41.128	13.373	35.779	35.798	-0.019	35.806
4642	40.822	6.452	38.242	38.242	0.000	38.242	41.146	13.263	35.841	35.871	-0.016	35.877
4643	40.822	6.452	38.242	38.242	0.000	38.242	40.207	11.200	35.727	35.804	0.191	35.728
4644	40.822	6.452	38.242	38.242	0.000	38.242	40.104	10.886	35.750	35.802	0.074	35.772
4645	40.822	6.452	38.242	38.242	0.000	38.242	41.197	13.020	35.989	35.999	-0.109	36.043
4646	40.822	6.452	38.242	38.242	0.000	38.242	41.439	13.373	36.090	36.114	-0.019	36.121
4647	40.822	6.452	38.242	38.242	0.000	38.242	41.460	13.272	36.152	36.088	-0.192	36.164
4648	40.822	6.452	38.242	38.242	0.000	38.242	39.696	9.523	35.887	35.884	0.013	35.878
4649	40.822	6.452	38.242	38.242	0.000	38.242	37.313	4.587	35.479	35.472	0.098	35.432
4650	40.822	6.452	38.242	38.242	0.000	38.242	35.374	0.644	35.116	35.079	0.079	35.047
4651	40.822	6.452	38.242	38.242	0.000	38.242	34.995	-0.041	35.011	34.998	0.013	34.992
4652	40.822	6.452	38.242	38.242	0.000	38.242	34.968	0.004	34.966	34.946	0.008	34.943
4653	40.822	6.452	38.242	38.242	0.000	38.242	34.921	0.008	34.918	34.898	0.008	34.895
4654	40.822	6.452	38.242	38.242	0.000	38.242	34.872	0.008	34.869	34.849	0.008	34.846
4655	40.822	6.452	38.242	38.242	0.000	38.242	34.824	0.008	34.821	34.801	0.008	34.798
4656	40.822	6.452	38.242	38.242	0.000	38.242	34.776	0.008	34.773	34.753	0.008	34.750
4657	40.822	6.452	38.242	38.242	0.000	38.242	34.728	0.008	34.725	34.706	0.008	34.702
4658	40.822	6.452	38.242	38.242	0.000	38.242	34.681	0.008	34.678	34.658	0.008	34.655
4659	40.822	6.452	38.242	38.242	0.000	38.242	34.633	0.008	34.630	34.610	0.008	34.607
