Zeit [h]	Variante 8.1 Raumlufttemperatur [C]	Variante 8.1 Wärmeleitung [W/m2]	Variante 8.1 Oberflächentemperatur [C]	Variante 8.2 Raumlufttemperatur [C]	Variante 8.2 Wärmeleitung [W/m2]	Variante 8.2 Oberflächentemperatur [C]	Variante 8.3 Raumlufttemperatur [C]	Variante 8.3 Wärmeleitung [W/m2]	Variante 8.3 Oberflächentemperatur [C]	Variante 8.4.Raumlufttemperatur [C]	Variante 8.4 Wärmeleitung [W/m2]	Variante 8.4 Oberflächentemperatur [C]
1193	36.73	6.45	34.15	34.15	0.00	34.15	36.21	9.61	32.37	32.37	0.01	32.37
1194	36.75	6.45	34.17	34.17	0.00	34.17	33.97	4.40	32.21	32.21	0.03	32.19
1195	36.76	6.45	34.18	34.18	0.00	34.18	32.11	0.31	31.99	31.99	0.04	31.98
1196	36.77	6.45	34.19	34.19	0.00	34.19	31.87	0.04	31.86	31.86	0.02	31.85
1197	36.79	6.45	34.21	34.21	0.00	34.21	31.77	0.02	31.76	31.76	0.02	31.76
1198	36.80	6.45	34.22	34.22	0.00	34.22	31.70	0.01	31.69	31.69	0.01	31.69
1199	36.81	6.45	34.23	34.23	0.00	34.23	31.64	0.01	31.64	31.64	0.01	31.63
1200	36.83	6.45	34.25	34.25	0.00	34.25	31.59	0.01	31.59	31.59	0.01	31.58
1201	36.84	6.45	34.26	34.26	0.00	34.26	31.55	0.01	31.54	31.54	0.01	31.54
1202	36.85	6.45	34.27	34.27	0.00	34.27	31.50	0.01	31.50	31.50	0.01	31.50
1203	36.87	6.45	34.29	34.29	0.00	34.29	31.46	0.01	31.46	31.46	0.01	31.46
1204	36.88	6.45	34.30	34.30	0.00	34.30	31.42	0.01	31.42	31.42	0.01	31.42
1205	36.89	6.45	34.31	34.31	0.00	34.31	31.39	0.01	31.38	31.38	0.01	31.38
1206	36.90	6.45	34.32	34.32	0.00	34.33	31.35	0.01	31.34	31.34	0.01	31.34
1207	36.92	6.45	34.34	34.34	0.00	34.34	32.94	3.77	31.44	31.44	-0.02	31.44
1208	36.93	6.45	34.35	34.35	0.00	34.35	35.24	8.98	31.65	31.65	-0.04	31.67
1209	36.94	6.45	34.36	34.36	0.00	34.36	37.15	13.07	31.92	31.92	-0.04	31.93
1210	36.96	6.45	34.38	34.38	0.00	34.38	37.43	13.34	32.10	32.10	-0.03	32.11
1211	36.97	6.45	34.39	34.39	0.00	34.39	37.58	13.36	32.24	32.24	-0.02	32.25
1212	36.98	6.45	34.40	34.40	0.00	34.40	36.65	10.96	32.27	32.27	-0.01	32.27
1213	36.99	6.45	34.41	34.41	0.00	34.41	36.64	10.81	32.32	32.32	-0.01	32.32
1214	37.01	6.45	34.43	34.43	0.00	34.43	37.74	13.21	32.46	32.46	-0.02	32.47
1215	37.02	6.45	34.44	34.44	0.00	34.44	37.91	13.36	32.57	32.57	-0.02	32.58
1216	37.03	6.45	34.45	34.45	0.00	34.45	38.01	13.37	32.67	32.67	-0.02	32.67
1217	37.04	6.45	34.46	34.46	0.00	34.46	36.47	9.61	32.63	32.63	0.01	32.63
1218	37.06	6.45	34.48	34.48	0.00	34.48	34.22	4.40	32.46	32.46	0.03	32.45
1219	37.07	6.45	34.49	34.49	0.00	34.49	32.37	0.31	32.25	32.25	0.04	32.23
1220	37.08	6.45	34.50	34.50	0.00	34.50	32.13	0.04	32.11	32.11	0.02	32.10
1221	37.09	6.45	34.51	34.51	0.00	34.51	32.03	0.02	32.02	32.02	0.02	32.01
1222	37.11	6.45	34.53	34.53	0.00	34.53	31.95	0.01	31.95	31.95	0.01	31.94
1223	37.12	6.45	34.54	34.54	0.00	34.54	31.89	0.01	31.89	31.89	0.01	31.89
1224	37.13	6.45	34.55	34.55	0.00	34.55	31.84	0.01	31.84	31.84	0.01	31.84
1225	37.14	6.45	34.56	34.56	0.00	34.56	31.80	0.01	31.79	31.79	0.01	31.79
1226	37.15	6.45	34.57	34.57	0.00	34.58	31.75	0.01	31.75	31.75	0.01	31.75
1227	37.17	6.45	34.59	34.59	0.00	34.59	31.71	0.01	31.71	31.71	0.01	31.71
1228	37.18	6.45	34.60	34.60	0.00	34.60	31.67	0.01	31.67	31.67	0.01	31.67
1229	37.19	6.45	34.61	34.61	0.00	34.61	31.63	0.01	31.63	31.63	0.01	31.63
1230	37.20	6.45	34.62	34.62	0.00	34.62	31.59	0.01	31.59	31.59	0.01	31.59
1231	37.21	6.45	34.63	34.63	0.00	34.63	33.19	3.77	31.68	31.68	-0.02	31.69
1232	37.23	6.45	34.65	34.65	0.00	34.65	35.49	8.98	31.90	31.90	-0.04	31.91
1233	37.24	6.45	34.66	34.66	0.00	34.66	37.39	13.07	32.16	32.16	-0.04	32.18
1234	37.25	6.45	34.67	34.67	0.00	34.67	37.68	13.34	32.34	32.34	-0.03	32.35
1235	37.26	6.45	34.68	34.68	0.00	34.68	37.83	13.36	32.48	32.48	-0.02	32.49
1236	37.27	6.45	34.69	34.69	0.00	34.69	36.90	10.96	32.51	32.51	-0.01	32.52
1237	37.28	6.45	34.70	34.70	0.00	34.71	36.88	10.81	32.56	32.56	-0.01	32.56
1238	37.30	6.45	34.72	34.72	0.00	34.72	37.98	13.21	32.70	32.70	-0.02	32.71
1239	37.31	6.45	34.73	34.73	0.00	34.73	38.15	13.36	32.81	32.81	-0.02	32.82
1240	37.32	6.45	34.74	34.74	0.00	34.74	38.25	13.37	32.91	32.91	-0.02	32.91
1241	37.33	6.45	34.75	34.75	0.00	34.75	36.71	9.61	32.87	32.87	0.01	32.86
1242	37.34	6.45	34.76	34.76	0.00	34.76	34.46	4.40	32.70	32.70	0.03	32.69
1243	37.35	6.45	34.77	34.77	0.00	34.77	32.60	0.31	32.48	32.48	0.04	32.47
1244	37.36	6.45	34.78	34.78	0.00	34.79	32.36	0.04	32.35	32.35	0.02	32.34
1245	37.38	6.45	34.80	34.80	0.00	34.80	32.26	0.02	32.25	32.25	0.02	32.25
1246	37.39	6.45	34.81	34.81	0.00	34.81	32.19	0.01	32.18	32.18	0.01	32.18
1247	37.40	6.45	34.82	34.82	0.00	34.82	32.13	0.01	32.12	32.12	0.01	32.12
1248	37.41	6.45	34.83	34.83	0.00	34.83	32.08	0.01	32.07	32.07	0.01	32.07
1249	37.42	6.45	34.84	34.84	0.00	34.84	32.03	0.01	32.03	32.03	0.01	32.02
1250	37.43	6.45	34.85	34.85	0.00	34.85	31.98	0.01	31.98	31.98	0.01	31.98
1251	37.44	6.45	34.86	34.86	0.00	34.86	31.94	0.01	31.94	31.94	0.01	31.94
