Test Case	Variable	ToolID	Tool Name	Version	Unit	Editor	Fehlercode	Average [-]	CVRMSE [%]	Daily Amplitude CVRMSE [%]	MBE	MSE [%]	Max Difference [-]	Maximum [-]	Minimum [-]	NMBE [%]	NRMSE [%]	R squared [-]	RMSE [%]	RMSEIQR [%]	RMSLE [%]	std dev [-]	Reference	SimQ-Score [%]	SimQ-Rating
01-Sonnenstand	Barrow Azimuth	ETU1	ETU Simulation	4.1	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	179.97	0.19	0.27	-0.3	0.12	0.75	338.96	21.31	-0.17	0.11	100.0	0.34	0.37	0.00306	70.83	False	99.76	Perfect
01-Sonnenstand	Melbourne Altitude	ETU1	ETU Simulation	4.1	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	34.4	1.95	0.8	-0.54	0.46	1.27	75.64	1.11	-1.54	0.92	99.88	0.68	2.1	0.0378	19.29	False	97.99	Perfect
01-Sonnenstand	Melbourne Azimuth	ETU1	ETU Simulation	4.1	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	180.25	6.53	0.56	0.36	138.15	344.61	360.0	0.13	0.2	3.28	99.07	11.75	5.07	0.11421	123.03	False	96.5	Perfect
01-Sonnenstand	Potsdam Altitude	ETU2	HottCAD	5.1.x.19	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	22.77	2.15	0.71	-0.2	0.24	0.93	56.52	1.31	-0.86	0.9	99.88	0.49	2.59	0.04001	14.07	False	98.0	Perfect
01-Sonnenstand	Potsdam Azimuth	ETU2	HottCAD	5.1.x.19	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	180.52	0.31	0.35	0.47	0.3	1.0	299.96	60.78	0.26	0.23	99.99	0.55	0.62	0.00393	55.77	False	99.55	Perfect
01-Sonnenstand	Shanghai Altitude	ETU2	HottCAD	5.1.x.19	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	33.31	1.56	0.96	-0.07	0.27	1.02	77.74	1.25	-0.21	0.68	99.92	0.52	1.9	0.03806	18.38	False	98.54	Perfect
01-Sonnenstand	Shanghai Azimuth	ETU2	HottCAD	5.1.x.19	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	180.56	0.44	0.49	0.59	0.63	2.84	291.42	69.17	0.33	0.36	99.98	0.8	0.71	0.00536	60.83	False	99.44	Perfect
01-Sonnenstand	Kaxgar Altitude	ETU2	HottCAD	5.1.x.19	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	29.32	2.03	0.87	-0.18	0.36	1.12	69.44	1.3	-0.61	0.88	99.87	0.6	2.47	0.04713	16.61	False	98.19	Perfect
01-Sonnenstand	Kaxgar Azimuth	ETU2	HottCAD	5.1.x.19	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	180.58	0.51	0.43	0.78	0.83	2.34	293.56	67.08	0.43	0.4	99.98	0.91	0.9	0.00625	57.92	False	99.33	Perfect
01-Sonnenstand	Singapur Altitude	ETU2	HottCAD	5.1.x.19	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	42.85	1.68	0.85	-0.01	0.52	1.05	87.63	1.24	-0.03	0.83	99.9	0.72	1.81	0.0491	22.99	False	98.73	Perfect
01-Sonnenstand	Singapur Azimuth	ETU2	HottCAD	5.1.x.19	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	180.57	5.14	0.98	0.78	85.44	357.6	359.58	0.37	0.44	2.6	98.79	9.24	5.98	0.09581	83.95	False	96.24	Perfect
01-Sonnenstand	Lima Altitude	ETU2	HottCAD	5.1.x.19	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	43.02	1.01	0.62	0.03	0.19	0.88	88.89	1.11	0.07	0.5	99.97	0.43	1.13	0.02821	23.46	False	99.2	Perfect
01-Sonnenstand	Lima Azimuth	ETU2	HottCAD	5.1.x.19	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	180.59	6.67	0.68	0.42	144.37	359.24	359.94	0.4	0.23	3.35	98.56	12.02	6.64	0.15703	100.15	False	95.0	Perfect
01-Sonnenstand	Denver Altitude	ETU2	HottCAD	5.1.x.19	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	29.17	1.53	0.75	-0.22	0.2	0.79	69.15	1.27	-0.76	0.66	99.93	0.45	1.86	0.02657	16.55	False	98.69	Perfect
01-Sonnenstand	Denver Azimuth	ETU2	HottCAD	5.1.x.19	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	180.59	0.23	0.45	0.09	0.17	0.91	293.65	67.03	0.05	0.18	99.99	0.41	0.41	0.00295	57.82	False	99.71	Perfect
01-Sonnenstand	Barrow Altitude	ETU2	HottCAD	5.1.x.19	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	14.68	3.21	0.65	-0.22	0.23	0.77	37.61	1.38	-1.45	1.32	99.8	0.48	3.53	0.06145	10.63	False	95.02	Perfect
01-Sonnenstand	Barrow Azimuth	ETU2	HottCAD	5.1.x.19	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	180.43	0.12	0.17	0.16	0.05	0.43	339.35	21.82	0.09	0.07	100.0	0.21	0.23	0.00228	70.69	False	99.77	Perfect
01-Sonnenstand	Melbourne Altitude	ETU2	HottCAD	5.1.x.19	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	34.96	1.89	0.52	0.02	0.44	1.32	75.75	0.81	0.05	0.89	99.88	0.66	2.04	0.04749	19.35	False	98.23	Perfect
01-Sonnenstand	Melbourne Azimuth	ETU2	HottCAD	5.1.x.19	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	180.63	11.28	0.55	0.74	411.73	359.18	359.93	0.02	0.41	5.66	97.23	20.29	8.75	0.25416	122.48	False	94.04	Perfect
01-Sonnenstand	Potsdam Altitude	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	22.69	1.72	0.35	-0.27	0.16	0.71	56.53	1.27	-1.19	0.71	99.92	0.39	2.06	0.0304	14.08	True	98.76	Perfect
01-Sonnenstand	Potsdam Azimuth	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	180.09	0.14	0.28	0.04	0.06	0.55	299.57	60.39	0.02	0.1	100.0	0.25	0.28	0.00187	55.74	True	99.84	Perfect
